tax_payment_id,registration_no,apply_dt,from_date,to_date,amount,receipt_no,issue_dt
460172,NL01/Q0917,09/07/2016,01/07/2016,30/06/2017,12410,KA23558,08/07/2016
460173,NL01/Q0918,09/07/2016,01/07/2016,30/06/2017,12410,KA23553,08/07/2016
460174,NL01/Q0919,09/07/2016,01/07/2016,30/06/2017,11294,KA23536,08/07/2016
460175,NL01/Q0920,09/07/2016,01/07/2016,30/06/2017,1760,KA22419,08/07/2016
460176,NL01/Q0922,09/07/2016,01/07/2016,30/06/2017,4974,KA23541,08/07/2016
460177,NL01/Q0923,09/07/2016,01/07/2016,30/06/2017,4974,KA23539,08/07/2016
460178,NL01/Q0926,09/07/2016,01/07/2016,30/06/2017,12410,KA23557,08/07/2016
460179,NL01/Q0927,09/07/2016,01/07/2016,30/06/2017,12410,KA23555,08/07/2016
460180,NL01/Q0928,09/07/2016,01/07/2016,30/06/2017,12410,KA23550,08/07/2016
460181,NL01/Q0929,09/07/2016,01/07/2016,30/06/2017,14986,KA23561,08/07/2016
460426,NL01/Q0994,13/07/2016,01/07/2016,30/06/2017,8362,KA24442,12/07/2016
460120,NL01/Q0995,13/07/2016,01/07/2016,30/06/2017,4538,KA24443,12/07/2016
460427,NL01/Q0996,13/07/2016,01/07/2016,30/06/2017,8666,KA24404,12/07/2016
460428,NL01/Q0997,13/07/2016,01/07/2016,30/06/2017,8666,KA244405,12/07/2016
460429,NL01/Q0998,13/07/2016,01/07/2016,30/06/2017,10230,KA24406,12/07/2016
460125,NL01/Q0999,13/07/2016,01/07/2016,30/06/2017,4822,KA24436,12/07/2016
460140,NL01/Q1000,13/07/2016,01/07/2016,30/06/2017,4622,KA24436,12/07/2016
460123,NL01/Q1001,13/07/2016,01/02/2016,30/06/2017,5330,KA24451,12/07/2016
460122,NL01/Q1002,13/07/2016,01/07/2016,30/06/2017,5330,KA24454,12/07/2016
460121,NL01/Q1003,13/07/2016,01/07/2016,30/09/2017,7806,KA24455,12/07/2016
460430,NL01/Q1004,13/07/2016,01/07/2016,30/06/2017,12206,KA24449,12/07/2016
460431,NL01/Q1005,13/07/2016,01/07/2016,30/06/2017,5126,KA24294,12/07/2016
460432,NL01/Q1006,13/07/2016,01/07/2016,30/06/2017,5126,KA24298,12/07/2016
460433,NL01/Q1007,13/07/2016,01/07/2016,30/06/2017,5126,KA24302,12/07/2016
460434,NL01/Q1008,13/07/2016,01/07/2016,30/06/2017,10230,KA24407,12/07/2016
460435,NL01/Q1009,13/07/2016,01/07/2016,30/06/2017,5126,KA24305,12/07/2016
460436,NL01/Q1010,13/07/2016,01/07/2016,30/06/2017,5126,KA24307,12/07/2016
460437,NL01/Q1011,13/07/2016,01/07/2016,30/06/2017,5126,KA24265,12/07/2016
460438,NL01/Q1012,13/07/2016,01/07/2016,30/06/2017,5126,KA24270,12/07/2016
460439,NL01/Q1013,13/07/2016,01/07/2016,30/06/2017,9706,KA24439,12/07/2016
460440,NL01/Q1014,13/07/2016,01/07/2016,30/06/2017,5126,KA24273,12/07/2016
460441,NL01/Q1015,13/07/2016,01/07/2016,30/06/2017,5126,KA24277,12/07/2016
460442,NL01/Q1016,13/07/2016,01/07/2016,30/06/2017,5126,KA24437,12/07/2016
460124,NL01/Q1017,13/07/2016,01/07/2016,30/06/2017,4822,KA24437,12/07/2016
460443,NL01/Q1018,13/07/2016,01/07/2016,30/06/2017,5156,KA24285,12/07/2016
460444,NL01/Q1019,13/07/2016,01/07/2016,30/06/2017,5126,KA24288,12/07/2016
460445,NL01/Q1020,13/07/2016,01/07/2016,30/06/2017,5126,KA24283,12/07/2016
460446,NL01/Q1021,13/07/2016,01/07/2016,30/06/2017,5126,KA24293,12/07/2016
460447,NL01/Q1022,13/07/2016,01/07/2016,30/06/2017,5126,KA24247,12/07/2016
460448,NL01/Q1023,13/07/2016,01/07/2016,30/06/2017,5126,KA24251,12/07/2016
460449,NL01/Q1024,13/07/2016,01/07/2016,30/06/2017,5126,KA24254,12/07/2016
460450,NL01/Q1025,13/07/2016,01/07/2016,30/06/2017,5126,KA24256,12/07/2016
460451,NL01/Q1026,13/07/2016,01/07/2016,30/06/2017,5126,KA24261,12/07/2016
460452,NL01/Q1027,13/07/2016,01/07/2016,30/06/2017,24262,KA24262,12/07/2016
460453,NL01/Q1028,13/07/2016,01/07/2016,30/06/2017,5126,KA24240,12/07/2016
460455,NL01/Q1029,13/07/2016,01/07/2016,30/06/2017,5126,KA24241,12/07/2016
460456,NL01/Q1030,13/07/2016,01/07/2016,30/06/2017,5126,KA24242,12/07/2016
460457,NL01/Q1031,13/07/2016,01/07/2016,30/07/2017,5126,KA24243,12/07/2016
460458,NL01/Q1032,13/07/2016,01/07/2016,30/06/2017,5126,KA24244,12/07/2016
460459,NL01/Q1033,13/07/2016,01/07/2016,30/06/2017,5126,KA24393,12/07/2016
460460,NL01/Q1034,13/07/2016,01/07/2016,30/06/2017,5126,KA24392,12/07/2016
460461,NL01/Q1035,13/07/2016,01/07/2016,30/06/2017,5126,KA24391,12/07/2016
460462,NL01/Q1036,13/07/2016,01/07/2016,30/06/2017,5126,KA24390,12/07/2016
460463,NL01/Q1037,13/07/2016,01/07/2016,30/06/2017,5126,KA24389,12/07/2016
460464,NL01/Q1038,13/07/2016,01/07/2016,30/06/2017,5126,KA24388,12/07/2016
460465,NL01/Q1039,13/07/2016,01/07/2016,30/06/2017,5126,KA24387,12/07/2016
460466,NL01/Q1040,13/07/2016,01/07/2016,30/06/2017,5126,KA24378,12/07/2016
460467,NL01/Q1041,13/07/2016,01/07/2016,30/06/2017,5126,KA24362,12/07/2016
460469,NL01/Q1042,13/07/2016,01/07/2016,30/06/2017,5126,KA24357,12/07/2016
460470,NL01/Q1043,13/07/2016,01/07/2016,30/06/2017,5126,KA24331,12/07/2016
460471,NL01/Q1044,13/07/2016,01/07/2016,30/06/2017,5126,KA24332,12/07/2016
460472,NL01/Q1045,13/07/2016,01/07/2016,30/06/2017,5126,KA24335,12/07/2016
460473,NL01/Q1046,13/07/2016,01/07/2016,30/06/2017,5126,KA24328,12/07/2016
